fighter1_name,fighter2_name,fighter1_odds,fighter2_odds,fighter1_implied_prob,fighter2_implied_prob,opening_odds_f1,opening_odds_f2,line_movement_f1,line_movement_f2,odds_spread,event_name,source,f1_is_favorite,is_competitive_matchup,has_heavy_favorite,big_line_movement
Leon Edwards,Carlos Prates,-352,268,0.7787610619469026,0.2717391304347826,-337,253,-15,15,0.50702193151212,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,1,0,1,0
Beneil Dariush,Benoit Saint Denis,155,-193,0.39215686274509803,0.658703071672355,184,-222,-29,29,0.26654620892725694,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,0,0
Bo Nickal,Rodolfo Vieira,266,-349,0.273224043715847,0.77728285077951,254,-337,12,-12,0.5040588070636629,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,1,0
Roman Kopylov,Gregory Rodrigues,116,-143,0.46296296296296297,0.588477366255144,92,-119,24,-24,0.12551440329218105,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,0,0
Erin Blanchfield,Tracy Cortez,-187,150,0.6515679442508711,0.4,-163,126,-24,24,0.25156794425087103,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,1,0,0,0
Malcolm Wellmaker,Ethyn Ewing,172,-215,0.36764705882352944,0.6825396825396826,202,-245,-30,30,0.3148926237161531,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,0,0
Kyle Daukaus,Gerald Meerschaert,-178,144,0.6402877697841727,0.4098360655737705,-179,145,1,-1,0.23045170421040218,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,1,0,0,0
Pat Sabatini,Chepe Mariscal,160,-199,0.38461538461538464,0.6655518394648829,188,-227,-28,28,0.2809364548494983,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,0,0
Angela Hill,Fatima Kline,261,-342,0.2770083102493075,0.7737556561085973,243,-324,18,-18,0.4967473458592898,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,1,0
Baisangur Susurkaev,Eric McConico,289,-384,0.2570694087403599,0.7933884297520661,280,-375,9,-9,0.5363190210117063,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,0,0,1,0
Viacheslav Borshchev,Matheus Camilo,-342,261,0.7737556561085973,0.2770083102493075,-362,281,20,-20,0.4967473458592898,UFC 322: Della Maddalena vs. Makhachev ,Synthetic,1,0,1,0
Gabriel Bonfim,Randy Brown,183,-231,0.35335689045936397,0.6978851963746223,173,-221,10,-10,0.34452830591525835,UFC Fight Night: Bonfim vs. Brown ,Synthetic,0,0,0,0
Matt Schnell,Joseph Morales,-194,156,0.6598639455782312,0.390625,-215,177,21,-21,0.26923894557823125,UFC Fight Night: Bonfim vs. Brown ,Synthetic,1,0,0,0
Muslim Salikhov,Uros Medic,-175,141,0.6363636363636364,0.4149377593360996,-152,118,-23,23,0.22142587702753674,UFC Fight Night: Bonfim vs. Brown ,Synthetic,1,0,0,0
Chris Padilla,Ismael Bonfim,-296,230,0.7474747474747475,0.30303030303030304,-296,230,0,0,0.4444444444444445,UFC Fight Night: Bonfim vs. Brown ,Synthetic,1,0,1,0
Christian Leroy Duncan,Marco Tulio,150,-187,0.4,0.6515679442508711,133,-170,17,-17,0.25156794425087103,UFC Fight Night: Bonfim vs. Brown ,Synthetic,0,0,0,0
Hyder Amil,Jamall Emmers,-206,165,0.673202614379085,0.37735849056603776,-194,153,-12,12,0.29584412381304726,UFC Fight Night: Bonfim vs. Brown ,Synthetic,1,0,0,0
Ricky Simon,Raoni Barcelos,-148,120,0.5967741935483871,0.45454545454545453,-164,136,16,-16,0.1422287390029326,UFC Fight Night: Bonfim vs. Brown ,Synthetic,1,0,0,0
Mayra Bueno Silva,Jacqueline Cavalcanti,229,-295,0.303951367781155,0.7468354430379747,256,-322,-27,27,0.44288407525681966,UFC Fight Night: Bonfim vs. Brown ,Synthetic,0,0,1,0
Josh Hokit,Max Gimenis,-210,168,0.6774193548387096,0.373134328358209,-215,173,5,-5,0.30428502648050065,UFC Fight Night: Bonfim vs. Brown ,Synthetic,1,0,0,0
Tecia Pennington,Denise Gomes,-397,298,0.7987927565392354,0.25125628140703515,-379,280,-18,18,0.5475364751322003,UFC Fight Night: Bonfim vs. Brown ,Synthetic,1,0,1,0
Miles Johns,Daniel Marcos,-219,175,0.6865203761755486,0.36363636363636365,-238,194,19,-19,0.322884012539185,UFC Fight Night: Bonfim vs. Brown ,Synthetic,1,0,0,0
Zach Reese,Jackson McVey,215,-275,0.31746031746031744,0.7333333333333333,231,-291,-16,16,0.41587301587301584,UFC Fight Night: Bonfim vs. Brown ,Synthetic,0,0,1,0
Steve Garcia,David Onama,-379,286,0.791231732776618,0.25906735751295334,-354,261,-25,25,0.5321643752636647,UFC Fight Night: Garcia vs. Onama ,Synthetic,1,0,1,0
Waldo Cortes Acosta,Ante Delija,-208,166,0.6753246753246753,0.37593984962406013,-187,145,-21,21,0.2993848257006152,UFC Fight Night: Garcia vs. Onama ,Synthetic,1,0,0,0
Jeremiah Wells,Themba Gorimbo,242,-313,0.29239766081871343,0.7578692493946732,246,-317,-4,4,0.4654715885759597,UFC Fight Night: Garcia vs. Onama ,Synthetic,0,0,1,0
Isaac Dulgarian,Yadier del Valle,261,-341,0.2770083102493075,0.7732426303854876,240,-320,21,-21,0.4962343201361801,UFC Fight Night: Garcia vs. Onama ,Synthetic,0,0,1,0
Charles Radtke,Daniel Frunza,-269,211,0.7289972899728997,0.3215434083601286,-255,197,-14,14,0.4074538816127711,UFC Fight Night: Garcia vs. Onama ,Synthetic,1,0,1,0
Allan Nascimento,Cody Durden,195,-247,0.3389830508474576,0.7118155619596542,188,-240,7,-7,0.3728325111121966,UFC Fight Night: Garcia vs. Onama ,Synthetic,0,0,1,0
Billy Elekana,Kevin Christian,243,-315,0.2915451895043732,0.7590361445783133,227,-299,16,-16,0.46749095507394006,UFC Fight Night: Garcia vs. Onama ,Synthetic,0,0,1,0
Timmy Cuamba,ChangHo Lee,119,-147,0.45662100456621,0.5951417004048583,102,-130,17,-17,0.13852069583864823,UFC Fight Night: Garcia vs. Onama ,Synthetic,0,0,0,0
Donte Johnson,Sedriques Dumas,266,-349,0.273224043715847,0.77728285077951,294,-377,-28,28,0.5040588070636629,UFC Fight Night: Garcia vs. Onama ,Synthetic,0,0,1,0
Ketlen Vieira,Norma Dumont,247,-321,0.2881844380403458,0.7624703087885986,240,-314,7,-7,0.47428587074825274,UFC Fight Night: Garcia vs. Onama ,Synthetic,0,0,1,0
Alice Ardelean,Montserrat Conejo Ruiz,-295,229,0.7468354430379747,0.303951367781155,-297,231,2,-2,0.44288407525681966,UFC Fight Night: Garcia vs. Onama ,Synthetic,1,0,1,0
Phil Rowe,Seokhyeon Ko,242,-313,0.29239766081871343,0.7578692493946732,257,-328,-15,15,0.4654715885759597,UFC Fight Night: Garcia vs. Onama ,Synthetic,0,0,1,0
Talita Alencar,Ariane Carnelossi,-322,248,0.7630331753554502,0.28735632183908044,-322,248,0,0,0.4756768535163698,UFC Fight Night: Garcia vs. Onama ,Synthetic,1,0,1,0
Tom Aspinall,Ciryl Gane,242,-313,0.29239766081871343,0.7578692493946732,258,-329,-16,16,0.4654715885759597,UFC 321: Aspinall vs. Gane ,Synthetic,0,0,1,0
Virna Jandiroba,Mackenzie Dern,-251,198,0.7150997150997151,0.33557046979865773,-221,168,-30,30,0.3795292453010574,UFC 321: Aspinall vs. Gane ,Synthetic,1,0,1,0
Umar Nurmagomedov,Mario Bautista,-169,137,0.6282527881040892,0.4219409282700422,-197,165,28,-28,0.20631185983404704,UFC 321: Aspinall vs. Gane ,Synthetic,1,0,0,0
Alexander Volkov,Jailton Almeida,-185,149,0.6491228070175439,0.40160642570281124,-183,147,-2,2,0.24751638131473264,UFC 321: Aspinall vs. Gane ,Synthetic,1,0,0,0
Aleksandar Rakic,Azamat Murzakanov,151,-188,0.398406374501992,0.6527777777777778,138,-175,13,-13,0.2543714032757858,UFC 321: Aspinall vs. Gane ,Synthetic,0,0,0,0
Nasrat Haqparast,Quillan Salkilld,-285,222,0.7402597402597403,0.3105590062111801,-310,247,25,-25,0.4297007340485602,UFC 321: Aspinall vs. Gane ,Synthetic,1,0,1,0
Ikram Aliskerov,JunYong Park,154,-192,0.3937007874015748,0.6575342465753424,134,-172,20,-20,0.2638334591737676,UFC 321: Aspinall vs. Gane ,Synthetic,0,0,0,0
Ludovit Klein,Mateusz Rebecki,-237,188,0.7032640949554896,0.3472222222222222,-264,215,27,-27,0.3560418727332674,UFC 321: Aspinall vs. Gane ,Synthetic,1,0,1,0
Valter Walker,Louie Sutherland,178,-223,0.3597122302158273,0.6904024767801857,185,-230,-7,7,0.3306902465643584,UFC 321: Aspinall vs. Gane ,Synthetic,0,0,0,0
Nathaniel Wood,Jose Delgado,-184,148,0.647887323943662,0.4032258064516129,-160,124,-24,24,0.24466151749204912,UFC 321: Aspinall vs. Gane ,Synthetic,1,0,0,0
Hamdy Abdelwahab,Chris Barnett,110,-135,0.47619047619047616,0.574468085106383,106,-131,4,-4,0.09827760891590687,UFC 321: Aspinall vs. Gane ,Synthetic,0,1,0,0
Azat Maksum,Mitch Raposo,-363,275,0.7840172786177105,0.26666666666666666,-390,302,27,-27,0.5173506119510438,UFC 321: Aspinall vs. Gane ,Synthetic,1,0,1,0
Jaqueline Amorim,Mizuki,-330,253,0.7674418604651163,0.28328611898017,-330,253,0,0,0.48415574148494633,UFC 321: Aspinall vs. Gane ,Synthetic,1,0,1,0
Reinier de Ridder,Brendan Allen,294,-391,0.25380710659898476,0.7963340122199593,321,-418,-27,27,0.5425269056209745,UFC Fight Night: De Ridder vs. Allen ,Synthetic,0,0,1,0
Kevin Holland,Mike Malott,-207,166,0.6742671009771987,0.37593984962406013,-200,159,-7,7,0.29832725135313853,UFC Fight Night: De Ridder vs. Allen ,Synthetic,1,0,0,0
Marlon Vera,Aiemann Zahabi,298,-398,0.25125628140703515,0.7991967871485943,321,-421,-23,23,0.5479405057415592,UFC Fight Night: De Ridder vs. Allen ,Synthetic,0,0,1,0
Manon Fiorot,Jasmine Jasudavicius,-260,205,0.7222222222222222,0.32786885245901637,-260,205,0,0,0.39435336976320584,UFC Fight Night: De Ridder vs. Allen ,Synthetic,1,0,1,0
Charles Jourdain,Davey Grant,-151,123,0.601593625498008,0.4484304932735426,-169,141,18,-18,0.15316313222446537,UFC Fight Night: De Ridder vs. Allen ,Synthetic,1,0,0,0
Kyle Nelson,Matt Frevola,-328,252,0.7663551401869159,0.2840909090909091,-357,281,29,-29,0.48226423109600675,UFC Fight Night: De Ridder vs. Allen ,Synthetic,1,0,1,0
Kyle Prepolec,Drew Dober,-234,186,0.7005988023952096,0.34965034965034963,-257,209,23,-23,0.3509484527448599,UFC Fight Night: De Ridder vs. Allen ,Synthetic,1,0,1,0
Cody Gibson,Aoriqileng,128,-158,0.43859649122807015,0.6124031007751938,120,-150,8,-8,0.17380660954712362,UFC Fight Night: De Ridder vs. Allen ,Synthetic,0,0,0,0
Bruno Silva,HyunSung Park,238,-308,0.2958579881656805,0.7549019607843137,225,-295,13,-13,0.4590439726186332,UFC Fight Night: De Ridder vs. Allen ,Synthetic,0,0,1,0
Danny Barlow,Djorden Santos,255,-333,0.28169014084507044,0.76905311778291,250,-328,5,-5,0.48736297693783953,UFC Fight Night: De Ridder vs. Allen ,Synthetic,0,0,1,0
Stephanie Luciano,Ravena Oliveira,145,-180,0.40816326530612246,0.6428571428571429,147,-182,-2,2,0.23469387755102045,UFC Fight Night: De Ridder vs. Allen ,Synthetic,0,0,0,0
Azamat Bekoev,Yousri Belgaroui,-313,242,0.7578692493946732,0.29239766081871343,-293,222,-20,20,0.4654715885759597,UFC Fight Night: De Ridder vs. Allen ,Synthetic,1,0,1,0
Melissa Croden,Tainara Lisboa,154,-192,0.3937007874015748,0.6575342465753424,149,-187,5,-5,0.2638334591737676,UFC Fight Night: De Ridder vs. Allen ,Synthetic,0,0,0,0
Charles Oliveira,Mateusz Gamrot,172,-215,0.36764705882352944,0.6825396825396826,144,-187,28,-28,0.3148926237161531,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,0,0,0,0
Deiveson Figueiredo,Montel Jackson,-190,153,0.6551724137931034,0.3952569169960474,-166,129,-24,24,0.259915496797056,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,1,0,0,0
Vicente Luque,Joel Alvarez,-369,279,0.7867803837953091,0.2638522427440633,-383,293,14,-14,0.5229281410512459,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,1,0,1,0
Jhonata Diniz,Mario Pinto,266,-348,0.273224043715847,0.7767857142857143,258,-340,8,-8,0.5035616705698673,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,0,0,1,0
Ricardo Ramos,Kaan Ofli,224,-287,0.30864197530864196,0.7416020671834626,205,-268,19,-19,0.4329600918748206,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,0,0,1,0
Lucas Almeida,Michael Aswell Jr.,274,-361,0.26737967914438504,0.7830802603036876,257,-344,17,-17,0.5157005811593025,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,0,0,1,0
Jafel Filho,Clayton Carpenter,229,-294,0.303951367781155,0.7461928934010152,210,-275,19,-19,0.44224152561986024,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,0,0,1,0
Vitor Petrino,Thomas Petersen,-382,288,0.7925311203319502,0.25773195876288657,-383,289,1,-1,0.5347991615690636,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,1,0,1,0
Bia Mesquita,Irina Alekseeva,296,-394,0.25252525252525254,0.7975708502024291,277,-375,19,-19,0.5450455976771766,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,0,0,1,0
Lucas Rocha,Stewart Nicoll,184,-232,0.352112676056338,0.6987951807228916,180,-228,4,-4,0.3466825046665536,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,0,0,0,0
Julia Polastri,Karolina Kowalkiewicz,245,-318,0.2898550724637681,0.7607655502392344,240,-313,5,-5,0.4709104777754663,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,0,0,1,0
Luan Lacerda,Saimon Oliveira,244,-316,0.29069767441860467,0.7596153846153846,231,-303,13,-13,0.4689177101967799,UFC Fight Night: Oliveira vs. Gamrot ,Synthetic,0,0,1,0
Magomed Ankalaev,Alex Pereira,-372,281,0.788135593220339,0.26246719160104987,-373,282,1,-1,0.5256684016192892,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,1,0,1,0
Merab Dvalishvili,Cory Sandhagen,-346,264,0.7757847533632287,0.27472527472527475,-358,276,12,-12,0.501059478637954,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,1,0,1,0
Jiri Prochazka,Khalil Rountree Jr.,-267,210,0.7275204359673024,0.3225806451612903,-247,190,-20,20,0.4049397908060121,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,1,0,1,0
Josh Emmett,Youssef Zalal,234,-302,0.2994011976047904,0.7512437810945274,256,-324,-22,22,0.451842583489737,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,0,0,1,0
Abus Magomedov,Joe Pyfer,-320,247,0.7619047619047619,0.2881844380403458,-300,227,-20,20,0.47372032386441604,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,1,0,1,0
Ateba Gautier,Tre'ston Vines,-392,294,0.7967479674796748,0.25380710659898476,-414,316,22,-22,0.54294086088069,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,1,0,1,0
Daniel Santos,JooSang Yoo,-392,294,0.7967479674796748,0.25380710659898476,-370,272,-22,22,0.54294086088069,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,1,0,1,0
Patchy Mix,Jakub Wiklacz,265,-347,0.273972602739726,0.7762863534675615,280,-362,-15,15,0.5023137507278355,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,0,0,1,0
Edmen Shahbazyan,Andre Muniz,253,-329,0.28328611898017,0.7668997668997669,241,-317,12,-12,0.48361364791959693,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,0,0,1,0
Punahele Soriano,Nikolay Veretennikov,126,-155,0.4424778761061947,0.6078431372549019,96,-125,30,-30,0.1653652611487072,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,0,0,0,0
Macy Chiasson,Yana Santos,-242,192,0.7076023391812866,0.3424657534246575,-264,214,22,-22,0.36513658575662905,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,1,0,1,0
Chris Gutierrez,Farid Basharat,231,-297,0.3021148036253776,0.7481108312342569,216,-282,15,-15,0.4459960276088793,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,0,0,1,0
Ramiz Brahimaj,Austin Vanderford,-140,114,0.5833333333333334,0.4672897196261682,-111,85,-29,29,0.11604361370716515,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,1,0,0,0
Veronica Hardy,Brogan Walker,-153,124,0.6047430830039525,0.44642857142857145,-147,118,-6,6,0.15831451157538107,UFC 320: Ankalaev vs. Pereira 2 ,Synthetic,1,0,0,0
Carlos Ulberg,Dominick Reyes,245,-318,0.2898550724637681,0.7607655502392344,238,-311,7,-7,0.4709104777754663,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,0,0,1,0
Jimmy Crute,Ivan Erslan,-330,253,0.7674418604651163,0.28328611898017,-303,226,-27,27,0.48415574148494633,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,1,0,1,0
Jack Jenkins,Ramon Taveras,-396,297,0.7983870967741935,0.2518891687657431,-393,294,-3,3,0.5464979280084504,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,1,0,1,0
Jake Matthews,Neil Magny,-134,109,0.5726495726495726,0.4784688995215311,-153,128,19,-19,0.09418067312804151,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,1,1,0,0
Tom Nolan,Charlie Campbell,-350,267,0.7777777777777778,0.2724795640326976,-322,239,-28,28,0.5052982137450802,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,1,0,1,0
Navajo Stirling,Rodolfo Bellato,-363,275,0.7840172786177105,0.26666666666666666,-381,293,18,-18,0.5173506119510438,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,1,0,1,0
Cam Rowston,Andre Petroski,-297,231,0.7481108312342569,0.3021148036253776,-290,224,-7,7,0.4459960276088793,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,1,0,1,0
Jamie Mullarkey,Rolando Bedoya,-348,266,0.7767857142857143,0.273224043715847,-327,245,-21,21,0.5035616705698673,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,1,0,1,0
Colby Thicknesse,Josias Musasa,-236,187,0.7023809523809523,0.34843205574912894,-250,201,14,-14,0.3539488966318234,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,1,0,1,0
Michelle Montague,Luana Carolina,137,-170,0.4219409282700422,0.6296296296296297,150,-183,-13,13,0.20768870135958745,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,0,0,0,0
Brando Pericic,Elisha Ellison,-150,122,0.6,0.45045045045045046,-122,94,-28,28,0.14954954954954952,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,1,0,0,0
Loma Lookboonmee,Alexia Thainara,234,-302,0.2994011976047904,0.7512437810945274,225,-293,9,-9,0.451842583489737,UFC Fight Night: Ulberg vs. Reyes ,Synthetic,0,0,1,0
Diego Lopes,Jean Silva,172,-215,0.36764705882352944,0.6825396825396826,158,-201,14,-14,0.3148926237161531,UFC Fight Night: Lopes vs. Silva ,Synthetic,0,0,0,0
Rob Font,David Martinez,277,-366,0.26525198938992045,0.7854077253218884,252,-341,25,-25,0.520155735931968,UFC Fight Night: Lopes vs. Silva ,Synthetic,0,0,1,0
Rafa Garcia,Jared Gordon,-286,223,0.7409326424870466,0.30959752321981426,-290,227,4,-4,0.43133511926723234,UFC Fight Night: Lopes vs. Silva ,Synthetic,1,0,1,0
Kelvin Gastelum,Dustin Stoltzfus,216,-276,0.31645569620253167,0.7340425531914894,201,-261,15,-15,0.4175868569889577,UFC Fight Night: Lopes vs. Silva ,Synthetic,0,0,1,0
Alexander Hernandez,Diego Ferreira,257,-335,0.2801120448179272,0.7701149425287356,227,-305,30,-30,0.4900028977108084,UFC Fight Night: Lopes vs. Silva ,Synthetic,0,0,1,0
Santiago Luna,Quang Le,-354,270,0.7797356828193832,0.2702702702702703,-351,267,-3,3,0.5094654125491129,UFC Fight Night: Lopes vs. Silva ,Synthetic,1,0,1,0
Jose Daniel Medina,Dusko Todorovic,-305,236,0.7530864197530864,0.2976190476190476,-303,234,-2,2,0.4554673721340388,UFC Fight Night: Lopes vs. Silva ,Synthetic,1,0,1,0
Claudio Puelles,Joaquim Silva,-375,283,0.7894736842105263,0.26109660574412535,-384,292,9,-9,0.528377078466401,UFC Fight Night: Lopes vs. Silva ,Synthetic,1,0,1,0
Tatiana Suarez,Amanda Lemos,-349,266,0.77728285077951,0.273224043715847,-371,288,22,-22,0.5040588070636629,UFC Fight Night: Lopes vs. Silva ,Synthetic,1,0,1,0
Jesus Aguilar,Luis Gurule,130,-161,0.43478260869565216,0.6168582375478927,127,-158,3,-3,0.18207562885224055,UFC Fight Night: Lopes vs. Silva ,Synthetic,0,0,0,0
Zach Reese,Sedriques Dumas,255,-332,0.28169014084507044,0.7685185185185185,251,-328,4,-4,0.48682837767344805,UFC Fight Night: Lopes vs. Silva ,Synthetic,0,0,1,0
