fighter1_name,fighter2_name,event_date,f1_avg_search_7d,f1_avg_search_30d,f1_peak_search_7d,f1_trend_direction,f2_avg_search_7d,f2_avg_search_30d,f2_peak_search_7d,f2_trend_direction,combined_buzz_7d,combined_buzz_30d,max_peak_search,buzz_differential
Timmy Cuamba,ChangHo Lee,2025-10-13 18:26:29.361817,24.0,29.0,24,-1,25.0,25.0,30,0,49.0,54.0,30,1.0
Donte Johnson,Sedriques Dumas,2025-03-24 18:26:29.408910,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ketlen Vieira,Norma Dumont,2025-07-04 18:26:29.446654,11.0,15.25,11,-1,25.0,25.0,30,0,36.0,40.25,30,14.0
Alice Ardelean,Montserrat Conejo Ruiz,2024-12-23 18:26:29.491409,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Phil Rowe,Seokhyeon Ko,2025-06-06 18:26:29.532446,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Talita Alencar,Ariane Carnelossi,2025-05-02 18:26:29.568921,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tom Aspinall,Ciryl Gane,2025-10-09 18:26:29.597353,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Virna Jandiroba,Mackenzie Dern,2025-08-17 18:26:29.635950,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Umar Nurmagomedov,Mario Bautista,2025-06-21 18:26:29.667427,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alexander Volkov,Jailton Almeida,2025-02-22 18:26:29.708042,25.0,25.0,30,0,5.0,17.0,5,1,30.0,42.0,30,20.0
Aleksandar Rakic,Azamat Murzakanov,2025-03-30 18:26:29.739990,25.0,25.0,30,0,10.0,35.0,10,-1,35.0,60.0,30,15.0
Nasrat Haqparast,Quillan Salkilld,2025-10-15 18:26:29.780131,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ikram Aliskerov,JunYong Park,2024-12-14 18:26:29.815730,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ludovit Klein,Mateusz Rebecki,2025-06-15 18:26:29.855078,27.0,22.4,27,1,25.0,25.0,30,0,52.0,47.4,30,2.0
Valter Walker,Louie Sutherland,2025-01-08 18:26:29.890815,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Nathaniel Wood,Jose Delgado,2025-08-21 18:26:29.921607,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Hamdy Abdelwahab,Chris Barnett,2025-07-13 18:26:29.956197,25.0,25.0,30,0,17.0,22.6,17,1,42.0,47.6,30,8.0
Azat Maksum,Mitch Raposo,2025-06-03 18:26:29.992075,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jaqueline Amorim,Mizuki,2025-08-31 18:26:30.020728,26.0,31.6,26,1,25.0,25.0,30,0,51.0,56.6,30,1.0
Reinier de Ridder,Brendan Allen,2025-11-08 18:26:30.056260,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Kevin Holland,Mike Malott,2025-04-27 18:26:30.099730,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Marlon Vera,Aiemann Zahabi,2025-11-30 18:26:30.136580,25.0,25.0,30,0,22.0,28.4,22,-1,47.0,53.4,30,3.0
Manon Fiorot,Jasmine Jasudavicius,2025-03-20 18:26:30.179458,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Charles Jourdain,Davey Grant,2025-02-17 18:26:30.210450,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Kyle Nelson,Matt Frevola,2025-09-10 18:26:30.253836,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Kyle Prepolec,Drew Dober,2025-05-21 18:26:30.288319,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Cody Gibson,Aoriqileng,2025-09-19 18:26:30.323458,12.0,31.5,12,-1,25.0,25.0,30,0,37.0,56.5,30,13.0
Bruno Silva,HyunSung Park,2025-05-28 18:26:30.354007,44.0,26.75,44,-1,25.0,25.0,30,0,69.0,51.75,44,19.0
Danny Barlow,Djorden Santos,2025-11-30 18:26:30.395871,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Stephanie Luciano,Ravena Oliveira,2025-02-11 18:26:30.433356,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Azamat Bekoev,Yousri Belgaroui,2025-10-14 18:26:30.479907,25.0,25.0,30,0,6.0,5.25,6,-1,31.0,30.25,30,19.0
Melissa Croden,Tainara Lisboa,2025-06-30 18:26:30.521443,25.0,25.0,30,0,17.0,27.8,17,-1,42.0,52.8,30,8.0
Charles Oliveira,Mateusz Gamrot,2025-09-19 18:26:30.560527,23.0,40.0,23,-1,23.0,24.75,23,1,46.0,64.75,23,0.0
Deiveson Figueiredo,Montel Jackson,2024-12-29 18:26:30.599140,25.0,25.0,30,0,21.0,29.4,21,-1,46.0,54.4,30,4.0
Vicente Luque,Joel Alvarez,2025-10-12 18:26:30.640511,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jhonata Diniz,Mario Pinto,2025-08-23 18:26:30.671300,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ricardo Ramos,Kaan Ofli,2025-11-22 18:26:30.712511,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Lucas Almeida,Michael Aswell Jr.,2025-05-13 18:26:30.747130,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jafel Filho,Clayton Carpenter,2025-05-12 18:26:30.784332,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Vitor Petrino,Thomas Petersen,2025-10-20 18:26:30.823442,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Bia Mesquita,Irina Alekseeva,2025-09-10 18:26:30.862565,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Lucas Rocha,Stewart Nicoll,2025-11-15 18:26:30.901676,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Julia Polastri,Karolina Kowalkiewicz,2025-04-07 18:26:30.938861,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Luan Lacerda,Saimon Oliveira,2025-09-16 18:26:30.977262,20.0,22.25,20,-1,27.0,30.75,27,-1,47.0,53.0,27,7.0
Magomed Ankalaev,Alex Pereira,2025-07-16 18:26:31.020726,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Merab Dvalishvili,Cory Sandhagen,2025-01-07 18:26:31.057109,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jiri Prochazka,Khalil Rountree Jr.,2025-06-05 18:26:31.093551,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Josh Emmett,Youssef Zalal,2025-01-24 18:26:31.130298,18.0,35.5,18,-1,25.0,25.0,30,0,43.0,60.5,30,7.0
Abus Magomedov,Joe Pyfer,2025-08-01 18:26:31.169601,25.0,25.0,30,0,32.0,34.75,32,-1,57.0,59.75,32,7.0
Ateba Gautier,Tre'ston Vines,2025-03-05 18:26:31.209762,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Daniel Santos,JooSang Yoo,2025-02-19 18:26:31.251540,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Patchy Mix,Jakub Wiklacz,2025-02-15 18:26:31.283596,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Edmen Shahbazyan,Andre Muniz,2025-01-18 18:26:31.316465,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Punahele Soriano,Nikolay Veretennikov,2025-08-01 18:26:31.346794,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Macy Chiasson,Yana Santos,2025-01-11 18:26:31.382251,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Chris Gutierrez,Farid Basharat,2025-08-24 18:26:31.433319,22.0,26.0,22,-1,25.0,25.0,30,0,47.0,51.0,30,3.0
Ramiz Brahimaj,Austin Vanderford,2025-09-28 18:26:31.474506,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Veronica Hardy,Brogan Walker,2025-11-15 18:26:31.509314,13.0,13.5,13,1,8.0,6.0,8,1,21.0,19.5,13,5.0
Carlos Ulberg,Dominick Reyes,2025-05-12 18:26:31.549117,15.0,28.0,15,-1,22.0,37.0,22,1,37.0,65.0,22,7.0
Jimmy Crute,Ivan Erslan,2025-11-12 18:26:31.588373,35.0,35.25,35,-1,25.0,25.0,30,0,60.0,60.25,35,10.0
Jack Jenkins,Ramon Taveras,2025-06-15 18:26:31.631605,42.0,38.6,42,-1,25.0,25.0,30,0,67.0,63.6,42,17.0
Jake Matthews,Neil Magny,2025-08-09 18:26:31.664313,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tom Nolan,Charlie Campbell,2025-01-08 18:26:31.705838,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Navajo Stirling,Rodolfo Bellato,2025-10-11 18:26:31.745458,43.0,39.0,43,1,25.0,25.0,30,0,68.0,64.0,43,18.0
Cam Rowston,Andre Petroski,2024-12-14 18:26:31.784000,21.0,19.25,21,-1,25.0,25.0,30,0,46.0,44.25,30,4.0
Jamie Mullarkey,Rolando Bedoya,2025-01-04 18:26:31.819819,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Colby Thicknesse,Josias Musasa,2025-04-10 18:26:31.851873,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Michelle Montague,Luana Carolina,2025-04-21 18:26:31.886422,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Brando Pericic,Elisha Ellison,2025-11-10 18:26:31.919912,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Loma Lookboonmee,Alexia Thainara,2025-05-21 18:26:31.958264,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Diego Lopes,Jean Silva,2025-07-01 18:26:31.994590,25.0,25.0,30,0,14.0,16.5,14,1,39.0,41.5,30,11.0
Rob Font,David Martinez,2024-12-30 18:26:32.035900,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Rafa Garcia,Jared Gordon,2025-10-24 18:26:32.070342,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Kelvin Gastelum,Dustin Stoltzfus,2025-10-23 18:26:32.112687,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alexander Hernandez,Diego Ferreira,2025-07-18 18:26:32.145219,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Santiago Luna,Quang Le,2025-05-13 18:26:32.172740,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jose Daniel Medina,Dusko Todorovic,2025-05-09 18:26:32.207448,38.0,37.0,38,1,23.0,30.25,23,-1,61.0,67.25,38,15.0
Claudio Puelles,Joaquim Silva,2025-08-30 18:26:32.257696,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tatiana Suarez,Amanda Lemos,2024-12-08 18:26:32.302543,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jesus Aguilar,Luis Gurule,2025-05-24 18:26:32.339900,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Zach Reese,Sedriques Dumas,2025-08-03 18:26:32.381736,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alessandro Costa,Alden Coria,2024-12-09 18:26:32.416533,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Montse Rendon,Alice Pereira,2025-07-10 18:26:32.458721,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Rodrigo Sezinando,Daniil Donchenko,2025-09-20 18:26:32.495588,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Nassourdine Imavov,Caio Borralho,2025-10-07 18:26:32.534836,5.0,12.25,5,-1,25.0,25.0,30,0,30.0,37.25,30,20.0
Benoit Saint Denis,Mauricio Ruffy,2025-11-28 18:26:32.567802,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Modestas Bukauskas,Paul Craig,2025-09-20 18:26:32.608177,25.0,25.0,30,0,20.0,33.5,20,-1,45.0,58.5,30,5.0
Bolaji Oki,Mason Jones,2025-06-22 18:26:32.648522,37.0,26.6,37,1,25.0,25.0,30,0,62.0,51.6,37,12.0
Axel Sola,Rhys McKee,2025-10-21 18:26:32.685238,15.0,17.5,15,-1,25.0,25.0,30,0,40.0,42.5,30,10.0
William Gomis,Robert Ruchala,2025-04-05 18:26:32.724761,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Oumar Sy,Brendson Ribeiro,2025-11-23 18:26:32.764349,17.0,23.4,17,-1,25.0,25.0,30,0,42.0,48.4,30,8.0
Marcin Tybura,Ante Delija,2025-11-18 18:26:32.800546,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Harry Hardwick,Kaue Fernandes,2025-03-03 18:26:32.834697,25.0,25.0,30,0,39.0,37.6,39,1,64.0,62.6,39,14.0
Sam Patterson,Trey Waters,2024-12-24 18:26:32.866238,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Brad Tavares,Robert Bryczek,2025-01-01 18:26:32.902754,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Andreas Gustafsson,Rinat Fakhretdinov,2025-02-12 18:26:32.943189,19.0,18.75,19,1,25.0,25.0,30,0,44.0,43.75,30,6.0
Shauna Bannon,Sam Hughes,2025-07-05 18:26:32.982289,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Johnny Walker,Zhang Mingyang,2025-08-11 18:26:33.022192,25.0,25.0,30,0,13.0,13.8,13,-1,38.0,38.8,30,12.0
Brian Ortega,Aljamain Sterling,2025-06-12 18:26:33.061877,24.0,21.75,24,1,25.0,25.0,30,0,49.0,46.75,30,1.0
Sergei Pavlovich,Waldo Cortes Acosta,2025-08-03 18:26:33.096423,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Sumudaerji,Kevin Borjas,2024-12-24 18:26:33.131006,25.0,25.0,30,0,39.0,40.0,39,-1,64.0,65.0,39,14.0
Taiyilake Nueraji,Kiefer Crosbie,2025-08-14 18:26:33.172988,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Maheshate,Gauge Young,2025-01-05 18:26:33.205953,37.0,40.8,37,-1,9.0,17.2,9,-1,46.0,58.0,37,28.0
Charles Johnson,Lone'er Kavanagh,2025-11-21 18:26:33.240863,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Rongzhu,Austin Hubbard,2025-10-22 18:26:33.279775,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Michel Pereira,Kyle Daukaus,2025-11-15 18:26:33.316268,51.0,42.5,51,-1,36.0,28.0,36,1,87.0,70.5,51,15.0
Yizha,Westin Wilson,2025-10-30 18:26:33.349980,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Xiao Long,SuYoung You,2025-11-28 18:26:33.380722,11.0,10.0,11,-1,20.0,23.5,20,-1,31.0,33.5,20,9.0
Uran Satybaldiev,Diyar Nurgozhay,2024-12-27 18:26:33.422511,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Dricus Du Plessis,Khamzat Chimaev,2025-08-06 18:26:33.453957,31.0,28.0,31,-1,25.0,25.0,30,0,56.0,53.0,31,6.0
Lerone Murphy,Aaron Pico,2025-09-27 18:26:33.486132,44.0,43.25,44,-1,25.0,25.0,30,0,69.0,68.25,44,19.0
Geoff Neal,Carlos Prates,2025-09-23 18:26:33.522548,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jared Cannonier,Michael Page,2025-01-19 18:26:33.550251,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tim Elliott,Kai Asakura,2025-06-01 18:26:33.587155,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Baisangur Susurkaev,Eric Nolan,2025-07-05 18:26:33.629294,4.0,4.5,4,-1,18.0,21.5,18,-1,22.0,26.0,18,14.0
Gerald Meerschaert,Michal Oleksiejczuk,2025-07-05 18:26:33.670995,25.0,25.0,30,0,5.0,7.25,5,-1,30.0,32.25,30,20.0
Jessica Andrade,Loopy Godinez,2025-12-04 18:26:33.703072,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Chase Hooper,Alexander Hernandez,2025-06-29 18:26:33.740878,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Edson Barboza,Drakkar Klose,2025-11-30 18:26:33.780227,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Karine Silva,Dione Barbosa,2025-07-10 18:26:33.806295,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alibi Idiris,Joseph Morales,2025-03-24 18:26:33.837979,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Roman Dolidze,Anthony Hernandez,2025-09-13 18:26:33.874835,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Steve Erceg,Ode Osbourne,2025-02-03 18:26:33.911975,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Iasmin Lucindo,Angela Hill,2025-05-05 18:26:33.946796,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Andre Fili,Christian Rodriguez,2025-05-13 18:26:33.987035,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Miles Johns,Jean Matsumoto,2025-04-04 18:26:34.019558,36.0,16.0,36,1,25.0,25.0,30,0,61.0,41.0,36,11.0
Eryk Anders,Christian Leroy Duncan,2025-10-28 18:26:34.051823,13.0,15.25,13,-1,25.0,25.0,30,0,38.0,40.25,30,12.0
